Object,Instance1,Attribute1_1,Attribute2_1,Attribute3_1,Attribute4_1,Attribute5_1,Probability_1,Instance2,Attribute1_2,Attribute2_2,Attribute3_2,Attribute4_2,Attribute5_2,Probability_2,Instance3,Attribute1_3,Attribute2_3,Attribute3_3,Attribute4_3,Attribute5_3,Probability_3
Object208_4,Instance1,524,-43,30,189,243,0.96,Instance2,524,-21,30,975,722,0.04,Instance3,524,-40,30,987,689,0.0
Object209_4,Instance1,314,-35,20,980,565,0.59,Instance2,314,-50,20,197,410,0.05,Instance3,314,-30,20,679,93,0.35
Object210_4,Instance1,569,-32,30,842,933,0.49,Instance2,569,-14,30,937,624,0.05,Instance3,569,-29,30,949,847,0.46
Object211_4,Instance1,484,-12,110,297,234,0.95,Instance2,484,-7,110,385,750,0.04,Instance3,484,-7,110,768,198,0.01
Object212_4,Instance1,520,-45,130,412,593,0.71,Instance2,520,-24,130,212,842,0.06,Instance3,520,-44,130,514,738,0.24
Object213_4,Instance1,922,-43,60,52,672,0.86,Instance2,922,-29,60,595,228,0.14,Instance3,922,-1,60,84,242,0.0
Object214_4,Instance1,301,-6,120,102,796,0.56,Instance2,301,-14,120,429,476,0.23,Instance3,301,-32,120,833,242,0.21
Object215_4,Instance1,670,-37,150,655,387,0.34,Instance2,670,-22,150,130,335,0.45,Instance3,670,-34,150,67,196,0.21
Object216_4,Instance1,937,-13,110,126,682,0.9,Instance2,937,-23,110,287,846,0.01,Instance3,937,-2,110,444,7,0.1
Object217_4,Instance1,102,-39,150,877,761,0.2,Instance2,102,-26,150,137,939,0.59,Instance3,102,-25,150,370,191,0.2
Object218_4,Instance1,281,-11,20,972,941,0.92,Instance2,281,-15,20,821,911,0.03,Instance3,281,-26,20,76,790,0.05
Object219_4,Instance1,949,-1,50,515,307,0.58,Instance2,949,-50,50,777,963,0.04,Instance3,949,-9,50,130,690,0.38
Object220_4,Instance1,301,-14,130,942,170,0.3,Instance2,301,-11,130,22,692,0.26,Instance3,301,-16,130,229,572,0.44
Object221_4,Instance1,429,-38,170,724,738,0.57,Instance2,429,-30,170,475,635,0.16,Instance3,429,-9,170,141,251,0.27
Object222_4,Instance1,21,-11,20,616,832,0.23,Instance2,21,-24,20,436,546,0.44,Instance3,21,-40,20,783,114,0.33
Object223_4,Instance1,378,-4,140,831,307,0.9,Instance2,378,-48,140,294,373,0.09,Instance3,378,-29,140,578,681,0.0
Object224_4,Instance1,586,-18,140,257,620,0.19,Instance2,586,-12,140,28,592,0.31,Instance3,586,-45,140,295,431,0.5
Object225_4,Instance1,458,-44,10,963,186,0.59,Instance2,458,-4,10,315,245,0.21,Instance3,458,-25,10,910,393,0.2
Object226_4,Instance1,487,-9,170,256,654,0.69,Instance2,487,-26,170,131,441,0.07,Instance3,487,-30,170,963,592,0.24
Object227_4,Instance1,907,-2,170,411,872,0.02,Instance2,907,-24,170,89,45,0.65,Instance3,907,-28,170,481,300,0.33
Object228_4,Instance1,872,-12,30,19,125,0.59,Instance2,872,-14,30,892,977,0.32,Instance3,872,-21,30,596,607,0.09
Object229_4,Instance1,825,-46,140,421,641,0.08,Instance2,825,-21,140,326,231,0.66,Instance3,825,-27,140,411,259,0.26
Object230_4,Instance1,309,-42,200,266,375,0.86,Instance2,309,-27,200,751,764,0.04,Instance3,309,-15,200,301,50,0.1
Object231_4,Instance1,109,-9,120,501,964,0.25,Instance2,109,-2,120,86,564,0.69,Instance3,109,-10,120,305,268,0.06
Object232_4,Instance1,409,-39,50,577,963,0.05,Instance2,409,-6,50,957,438,0.14,Instance3,409,-31,50,610,242,0.81
Object233_4,Instance1,229,-32,120,995,4,0.62,Instance2,229,-9,120,607,212,0.07,Instance3,229,-38,120,759,462,0.32
Object234_4,Instance1,620,-26,200,280,407,0.99,Instance2,620,-26,200,621,995,0.01,Instance3,620,-45,200,410,409,0.01
Object235_4,Instance1,263,-8,20,914,410,0.37,Instance2,263,-15,20,523,570,0.04,Instance3,263,-36,20,274,144,0.59
Object236_4,Instance1,334,-4,100,686,55,0.75,Instance2,334,-23,100,962,322,0.18,Instance3,334,-50,100,922,379,0.07
Object237_4,Instance1,198,-25,180,350,135,0.7,Instance2,198,-23,180,914,698,0.27,Instance3,198,-48,180,304,949,0.03
Object238_4,Instance1,144,-44,50,161,125,0.24,Instance2,144,-4,50,770,396,0.47,Instance3,144,-33,50,994,645,0.29
Object239_4,Instance1,415,-25,110,408,970,0.2,Instance2,415,-33,110,352,665,0.45,Instance3,415,-30,110,587,926,0.34
Object240_4,Instance1,238,-2,100,352,625,0.43,Instance2,238,-8,100,299,39,0.13,Instance3,238,-37,100,929,186,0.44
Object241_4,Instance1,115,-9,110,74,224,0.63,Instance2,115,-44,110,596,264,0.16,Instance3,115,-7,110,470,833,0.21
Object242_4,Instance1,705,-26,10,407,584,0.7,Instance2,705,-19,10,77,85,0.12,Instance3,705,-50,10,480,96,0.18
Object243_4,Instance1,126,-42,100,202,642,0.86,Instance2,126,-17,100,684,667,0.11,Instance3,126,-50,100,298,55,0.04
Object244_4,Instance1,36,-20,130,2,666,0.97,Instance2,36,-32,130,508,708,0.01,Instance3,36,-4,130,251,17,0.02
Object245_4,Instance1,847,-48,120,25,284,0.09,Instance2,847,-19,120,360,456,0.78,Instance3,847,-6,120,464,292,0.13
Object246_4,Instance1,244,-37,60,397,826,0.83,Instance2,244,-8,60,655,309,0.12,Instance3,244,-21,60,264,268,0.06
Object247_4,Instance1,811,-13,100,876,24,0.06,Instance2,811,-8,100,230,294,0.8,Instance3,811,-49,100,341,732,0.14
Object248_4,Instance1,231,-20,180,419,551,0.96,Instance2,231,-1,180,797,889,0.03,Instance3,231,-30,180,692,462,0.0
Object249_4,Instance1,93,-11,170,735,515,0.74,Instance2,93,-48,170,624,658,0.24,Instance3,93,-23,170,227,616,0.02
Object250_4,Instance1,23,-41,160,540,885,0.86,Instance2,23,-15,160,691,361,0.02,Instance3,23,-7,160,504,159,0.12
Object251_4,Instance1,28,-50,170,643,583,0.9,Instance2,28,-36,170,862,979,0.05,Instance3,28,-15,170,963,791,0.06
Object252_4,Instance1,671,-37,130,494,590,0.33,Instance2,671,-13,130,30,537,0.03,Instance3,671,-47,130,560,73,0.65
Object253_4,Instance1,971,-42,50,540,777,0.8,Instance2,971,-35,50,296,945,0.1,Instance3,971,-22,50,418,691,0.09
Object254_4,Instance1,784,-10,200,219,948,0.09,Instance2,784,-25,200,732,339,0.34,Instance3,784,-9,200,663,231,0.56
Object255_4,Instance1,753,-3,30,42,324,0.17,Instance2,753,-41,30,734,747,0.09,Instance3,753,-36,30,330,297,0.74
Object256_4,Instance1,122,-9,30,194,864,0.42,Instance2,122,-17,30,877,889,0.45,Instance3,122,-37,30,897,642,0.13
Object257_4,Instance1,936,-22,60,838,724,0.01,Instance2,936,-15,60,832,258,0.8,Instance3,936,-40,60,255,164,0.19
Object258_4,Instance1,912,-15,60,266,118,0.05,Instance2,912,-40,60,856,509,0.3,Instance3,912,-48,60,94,738,0.65
Object259_4,Instance1,198,-30,120,752,111,0.16,Instance2,198,-39,120,973,392,0.75,Instance3,198,-20,120,492,496,0.09
Object260_4,Instance1,850,-9,100,932,392,0.61,Instance2,850,-40,100,195,728,0.04,Instance3,850,-45,100,614,202,0.34
Object261_4,Instance1,363,-6,170,130,884,0.98,Instance2,363,-6,170,140,985,0.01,Instance3,363,-1,170,461,14,0.01
Object262_4,Instance1,631,-35,90,8,277,0.83,Instance2,631,-45,90,989,894,0.15,Instance3,631,-32,90,964,925,0.01
Object263_4,Instance1,557,-49,70,574,668,0.4,Instance2,557,-6,70,667,987,0.35,Instance3,557,-4,70,663,567,0.25
Object264_4,Instance1,985,-45,180,720,2,0.32,Instance2,985,-28,180,219,488,0.46,Instance3,985,-3,180,325,664,0.22
Object265_4,Instance1,391,-43,10,160,816,0.17,Instance2,391,-25,10,163,47,0.39,Instance3,391,-15,10,221,886,0.44
Object266_4,Instance1,972,-33,200,440,702,0.14,Instance2,972,-2,200,599,350,0.42,Instance3,972,-14,200,985,174,0.44
Object267_4,Instance1,133,-3,190,47,979,0.64,Instance2,133,-8,190,76,889,0.07,Instance3,133,-47,190,240,917,0.29
Object268_4,Instance1,79,-21,130,609,288,0.02,Instance2,79,-47,130,729,402,0.75,Instance3,79,-35,130,586,441,0.23
Object269_4,Instance1,636,-3,50,948,974,0.47,Instance2,636,-38,50,560,11,0.42,Instance3,636,-46,50,64,665,0.11
Object270_4,Instance1,956,-28,180,207,965,0.75,Instance2,956,-44,180,977,113,0.04,Instance3,956,-3,180,458,425,0.22
Object271_4,Instance1,970,-32,30,734,73,0.02,Instance2,970,-11,30,531,799,0.68,Instance3,970,-14,30,513,230,0.3
Object272_4,Instance1,696,-49,180,841,739,0.29,Instance2,696,-28,180,124,985,0.68,Instance3,696,-3,180,343,411,0.04
Object273_4,Instance1,727,-6,30,438,371,0.6,Instance2,727,-32,30,725,737,0.33,Instance3,727,-3,30,997,418,0.08
Object274_4,Instance1,849,-43,190,71,783,0.54,Instance2,849,-5,190,170,734,0.06,Instance3,849,-24,190,237,229,0.41
Object275_4,Instance1,72,-33,150,376,726,0.72,Instance2,72,-6,150,531,983,0.08,Instance3,72,-39,150,176,71,0.19
Object276_4,Instance1,935,-33,10,400,871,0.98,Instance2,935,-7,10,208,133,0.01,Instance3,935,-13,10,280,101,0.01
Object277_4,Instance1,709,-37,150,944,597,0.6,Instance2,709,-14,150,869,44,0.15,Instance3,709,-9,150,159,484,0.25
Object278_4,Instance1,327,-23,200,504,635,0.72,Instance2,327,-15,200,364,925,0.03,Instance3,327,-26,200,353,810,0.25
Object279_4,Instance1,287,-34,160,362,126,1.0,Instance2,287,-2,160,833,683,0.0,Instance3,287,-8,160,99,251,0.0
Object280_4,Instance1,858,-19,160,114,817,0.93,Instance2,858,-35,160,923,580,0.03,Instance3,858,-44,160,634,303,0.04
Object281_4,Instance1,667,-13,10,719,271,0.1,Instance2,667,-45,10,706,184,0.36,Instance3,667,-18,10,693,81,0.54
Object282_4,Instance1,234,-31,90,681,234,0.77,Instance2,234,-48,90,738,401,0.16,Instance3,234,-8,90,256,856,0.07
Object283_4,Instance1,458,-28,80,445,78,0.41,Instance2,458,-4,80,1000,90,0.56,Instance3,458,-43,80,536,157,0.03
Object284_4,Instance1,951,-27,10,548,849,0.74,Instance2,951,-32,10,789,21,0.22,Instance3,951,-35,10,824,480,0.04
Object285_4,Instance1,579,-18,110,326,784,0.85,Instance2,579,-22,110,930,572,0.12,Instance3,579,-20,110,563,131,0.03
Object286_4,Instance1,99,-46,170,642,180,0.91,Instance2,99,-19,170,204,452,0.08,Instance3,99,-10,170,830,869,0.01
Object287_4,Instance1,662,-1,130,455,36,0.12,Instance2,662,-28,130,257,10,0.67,Instance3,662,-7,130,135,463,0.21
Object288_4,Instance1,325,-18,200,669,744,0.44,Instance2,325,-4,200,602,314,0.21,Instance3,325,-25,200,71,821,0.34
Object289_4,Instance1,868,-33,60,278,323,0.74,Instance2,868,-43,60,782,607,0.24,Instance3,868,-37,60,762,580,0.02
Object290_4,Instance1,287,-17,50,459,394,0.42,Instance2,287,-41,50,737,984,0.29,Instance3,287,-28,50,148,948,0.3
Object291_4,Instance1,956,-38,30,741,232,0.13,Instance2,956,-35,30,550,75,0.75,Instance3,956,-42,30,308,594,0.12
Object292_4,Instance1,545,-31,40,691,423,0.89,Instance2,545,-8,40,952,91,0.05,Instance3,545,-31,40,147,598,0.06
Object293_4,Instance1,6,-20,100,102,251,0.42,Instance2,6,-8,100,504,394,0.08,Instance3,6,-2,100,522,523,0.5
Object294_4,Instance1,35,-38,30,569,563,0.76,Instance2,35,-36,30,420,918,0.04,Instance3,35,-1,30,846,882,0.2
Object295_4,Instance1,239,-21,40,534,463,0.92,Instance2,239,-28,40,2,137,0.05,Instance3,239,-43,40,643,26,0.03
Object296_4,Instance1,105,-13,110,833,582,0.54,Instance2,105,-7,110,630,80,0.31,Instance3,105,-15,110,801,478,0.16
Object297_4,Instance1,989,-49,200,668,126,0.24,Instance2,989,-30,200,343,177,0.27,Instance3,989,-49,200,41,215,0.49
Object298_4,Instance1,621,-28,40,785,307,0.43,Instance2,621,-44,40,85,22,0.15,Instance3,621,-19,40,138,829,0.42
Object299_4,Instance1,93,-21,130,785,156,0.61,Instance2,93,-50,130,838,938,0.23,Instance3,93,-46,130,48,818,0.16
Object300_4,Instance1,623,-27,80,861,180,0.42,Instance2,623,-43,80,399,478,0.27,Instance3,623,-45,80,104,687,0.31
Object301_4,Instance1,47,-38,70,375,761,0.86,Instance2,47,-11,70,623,665,0.01,Instance3,47,-50,70,903,746,0.12
Object302_4,Instance1,701,-16,80,557,932,0.49,Instance2,701,-5,80,714,9,0.38,Instance3,701,-45,80,654,603,0.13
Object303_4,Instance1,516,-6,100,900,804,0.92,Instance2,516,-11,100,241,470,0.08,Instance3,516,-48,100,621,172,0.0
Object304_4,Instance1,618,-7,10,295,86,0.08,Instance2,618,-21,10,453,730,0.01,Instance3,618,-31,10,795,203,0.91
Object305_4,Instance1,173,-5,40,89,10,0.39,Instance2,173,-28,40,597,970,0.38,Instance3,173,-17,40,24,154,0.22
Object306_4,Instance1,701,-8,90,206,481,0.11,Instance2,701,-29,90,478,280,0.47,Instance3,701,-14,90,474,462,0.41
Object307_4,Instance1,40,-31,130,413,152,0.53,Instance2,40,-7,130,492,718,0.07,Instance3,40,-13,130,431,856,0.4
Object308_4,Instance1,548,-30,50,151,200,0.73,Instance2,548,-32,50,74,994,0.2,Instance3,548,-28,50,708,711,0.07
Object309_4,Instance1,792,-31,170,897,530,0.11,Instance2,792,-12,170,100,701,0.59,Instance3,792,-29,170,403,276,0.3
Object310_4,Instance1,626,-28,200,414,444,0.59,Instance2,626,-40,200,503,180,0.4,Instance3,626,-21,200,444,41,0.01
Object311_4,Instance1,340,-16,30,387,333,0.6,Instance2,340,-13,30,928,181,0.24,Instance3,340,-43,30,12,33,0.17
Object312_4,Instance1,481,-1,80,199,733,0.35,Instance2,481,-45,80,697,101,0.15,Instance3,481,-17,80,950,712,0.5
Object313_4,Instance1,935,-2,160,994,66,0.04,Instance2,935,-14,160,206,614,0.4,Instance3,935,-41,160,784,305,0.56
Object314_4,Instance1,550,-4,190,291,506,0.15,Instance2,550,-45,190,933,818,0.49,Instance3,550,-35,190,552,322,0.36
Object315_4,Instance1,528,-20,110,723,896,0.73,Instance2,528,-26,110,100,759,0.09,Instance3,528,-37,110,980,925,0.18
Object316_4,Instance1,357,-25,110,837,654,0.25,Instance2,357,-44,110,372,724,0.55,Instance3,357,-47,110,109,583,0.2
Object317_4,Instance1,999,-38,150,743,414,1.0,Instance2,999,-2,150,558,912,0.0,Instance3,999,-45,150,29,295,0.0
Object318_4,Instance1,305,-14,200,780,96,0.91,Instance2,305,-47,200,249,19,0.03,Instance3,305,-40,200,308,797,0.06
Object319_4,Instance1,642,-5,60,607,696,0.23,Instance2,642,-27,60,697,238,0.66,Instance3,642,-37,60,342,98,0.1
Object320_4,Instance1,180,-14,50,801,840,0.46,Instance2,180,-13,50,304,50,0.44,Instance3,180,-48,50,479,986,0.1
Object321_4,Instance1,832,-31,200,424,509,0.49,Instance2,832,-45,200,912,114,0.51,Instance3,832,-9,200,239,55,0.0
Object322_4,Instance1,910,-20,190,92,83,0.36,Instance2,910,-38,190,249,214,0.1,Instance3,910,-1,190,787,434,0.54
Object323_4,Instance1,180,-39,190,904,713,0.33,Instance2,180,-15,190,310,23,0.21,Instance3,180,-29,190,566,732,0.46
Object324_4,Instance1,228,-48,180,191,728,0.17,Instance2,228,-31,180,354,26,0.17,Instance3,228,-43,180,519,981,0.66
Object325_4,Instance1,521,-42,110,400,471,0.48,Instance2,521,-32,110,31,234,0.22,Instance3,521,-2,110,81,777,0.3
Object326_4,Instance1,973,-36,20,632,751,0.07,Instance2,973,-8,20,193,578,0.15,Instance3,973,-26,20,458,270,0.78
Object327_4,Instance1,754,-26,30,511,624,0.33,Instance2,754,-50,30,370,871,0.06,Instance3,754,-35,30,601,666,0.61
Object328_4,Instance1,432,-1,90,529,837,0.87,Instance2,432,-29,90,310,139,0.01,Instance3,432,-34,90,336,8,0.12
Object329_4,Instance1,619,-16,30,734,752,0.66,Instance2,619,-33,30,552,889,0.32,Instance3,619,-14,30,269,178,0.02
Object330_4,Instance1,833,-18,150,671,992,0.05,Instance2,833,-7,150,411,601,0.78,Instance3,833,-50,150,462,823,0.17
Object331_4,Instance1,249,-8,170,617,518,0.8,Instance2,249,-14,170,910,726,0.06,Instance3,249,-29,170,980,334,0.14
Object332_4,Instance1,950,-29,50,208,880,0.85,Instance2,950,-6,50,272,899,0.08,Instance3,950,-25,50,855,541,0.07
Object333_4,Instance1,240,-27,80,149,492,0.26,Instance2,240,-44,80,397,241,0.65,Instance3,240,-43,80,190,210,0.09
Object334_4,Instance1,703,-6,110,31,950,0.17,Instance2,703,-43,110,144,71,0.54,Instance3,703,-22,110,931,357,0.29
Object335_4,Instance1,953,-45,70,479,892,0.92,Instance2,953,-41,70,133,458,0.02,Instance3,953,-7,70,209,513,0.06
Object336_4,Instance1,178,-29,10,302,587,0.14,Instance2,178,-13,10,330,831,0.17,Instance3,178,-15,10,434,82,0.69
Object337_4,Instance1,835,-24,150,198,156,0.77,Instance2,835,-23,150,261,31,0.07,Instance3,835,-3,150,618,838,0.16
Object338_4,Instance1,92,-45,70,135,144,0.41,Instance2,92,-41,70,206,479,0.52,Instance3,92,-49,70,96,701,0.07
Object339_4,Instance1,937,-6,130,159,218,0.61,Instance2,937,-2,130,496,321,0.01,Instance3,937,-3,130,386,199,0.38
Object340_4,Instance1,277,-48,180,614,142,0.49,Instance2,277,-22,180,614,15,0.33,Instance3,277,-28,180,911,180,0.18
Object341_4,Instance1,760,-32,10,203,167,0.65,Instance2,760,-28,10,761,449,0.04,Instance3,760,-9,10,590,800,0.32
Object342_4,Instance1,817,-7,200,336,560,0.1,Instance2,817,-1,200,819,405,0.85,Instance3,817,-49,200,548,703,0.05
Object343_4,Instance1,978,-43,130,521,704,0.29,Instance2,978,-41,130,946,930,0.64,Instance3,978,-7,130,451,411,0.07
Object344_4,Instance1,601,-9,170,817,843,0.27,Instance2,601,-28,170,797,150,0.53,Instance3,601,-39,170,324,57,0.2
Object345_4,Instance1,934,-11,190,522,277,0.65,Instance2,934,-43,190,546,856,0.26,Instance3,934,-26,190,684,690,0.09
Object346_4,Instance1,251,-24,200,174,617,0.57,Instance2,251,-16,200,785,872,0.23,Instance3,251,-48,200,519,135,0.2
Object347_4,Instance1,83,-31,80,733,196,0.89,Instance2,83,-22,80,867,46,0.04,Instance3,83,-27,80,60,466,0.07
Object348_4,Instance1,735,-16,10,835,916,0.67,Instance2,735,-38,10,691,989,0.15,Instance3,735,-15,10,41,475,0.18
Object349_4,Instance1,467,-22,40,369,168,0.47,Instance2,467,-18,40,31,308,0.18,Instance3,467,-32,40,731,805,0.35
Object350_4,Instance1,749,-27,40,920,934,0.19,Instance2,749,-31,40,389,369,0.64,Instance3,749,-28,40,232,417,0.17
Object351_4,Instance1,383,-22,60,981,215,0.66,Instance2,383,-39,60,857,864,0.04,Instance3,383,-29,60,29,452,0.3
Object352_4,Instance1,784,-2,30,872,471,0.07,Instance2,784,-8,30,576,499,0.31,Instance3,784,-48,30,690,364,0.61
Object353_4,Instance1,801,-31,80,811,897,0.83,Instance2,801,-21,80,258,975,0.03,Instance3,801,-46,80,362,701,0.15
Object354_4,Instance1,449,-31,80,963,508,0.19,Instance2,449,-22,80,931,316,0.64,Instance3,449,-8,80,932,961,0.17
Object355_4,Instance1,288,-49,190,764,326,0.38,Instance2,288,-42,190,729,472,0.61,Instance3,288,-36,190,649,187,0.0
Object356_4,Instance1,128,-22,50,27,946,0.03,Instance2,128,-5,50,124,987,0.62,Instance3,128,-28,50,383,884,0.36
Object357_4,Instance1,300,-25,140,614,486,0.21,Instance2,300,-42,140,235,919,0.08,Instance3,300,-8,140,463,486,0.7
Object358_4,Instance1,842,-49,170,307,851,0.69,Instance2,842,-42,170,139,679,0.21,Instance3,842,-6,170,583,72,0.1
Object359_4,Instance1,702,-5,150,363,321,0.96,Instance2,702,-2,150,873,124,0.02,Instance3,702,-24,150,272,929,0.02
Object360_4,Instance1,4,-4,120,890,905,0.05,Instance2,4,-7,120,897,72,0.78,Instance3,4,-25,120,603,31,0.17
Object361_4,Instance1,700,-16,90,861,516,0.01,Instance2,700,-34,90,342,617,0.36,Instance3,700,-24,90,301,956,0.63
Object362_4,Instance1,412,-11,100,638,561,0.46,Instance2,412,-18,100,380,614,0.14,Instance3,412,-47,100,75,14,0.4
Object363_4,Instance1,208,-39,70,262,520,0.87,Instance2,208,-24,70,525,806,0.06,Instance3,208,-19,70,826,912,0.07
Object364_4,Instance1,239,-36,110,442,471,0.09,Instance2,239,-3,110,629,330,0.05,Instance3,239,-47,110,240,145,0.86
Object365_4,Instance1,298,-48,170,43,641,0.2,Instance2,298,-30,170,844,900,0.6,Instance3,298,-21,170,571,624,0.2
Object366_4,Instance1,541,-43,50,657,740,0.76,Instance2,541,-15,50,347,162,0.0,Instance3,541,-39,50,424,724,0.24
Object367_4,Instance1,215,-1,110,565,38,0.5,Instance2,215,-29,110,221,8,0.24,Instance3,215,-21,110,829,650,0.26
Object368_4,Instance1,564,-10,10,509,649,0.43,Instance2,564,-49,10,323,724,0.5,Instance3,564,-46,10,396,590,0.07
Object369_4,Instance1,16,-16,200,849,388,0.29,Instance2,16,-32,200,798,784,0.57,Instance3,16,-20,200,68,558,0.13
Object370_4,Instance1,169,-10,40,260,849,0.79,Instance2,169,-50,40,591,73,0.03,Instance3,169,-38,40,737,989,0.18
Object371_4,Instance1,71,-23,200,246,137,0.47,Instance2,71,-19,200,288,709,0.26,Instance3,71,-1,200,595,883,0.27
Object372_4,Instance1,159,-37,150,659,108,0.57,Instance2,159,-49,150,111,925,0.29,Instance3,159,-38,150,730,125,0.15
Object373_4,Instance1,978,-16,60,235,647,0.98,Instance2,978,-44,60,417,394,0.01,Instance3,978,-22,60,260,698,0.01
Object374_4,Instance1,868,-6,60,106,649,0.88,Instance2,868,-49,60,77,703,0.02,Instance3,868,-9,60,683,99,0.1
Object375_4,Instance1,427,-21,30,468,907,0.21,Instance2,427,-32,30,193,853,0.15,Instance3,427,-23,30,663,452,0.64
Object376_4,Instance1,748,-16,30,741,458,0.77,Instance2,748,-29,30,57,313,0.02,Instance3,748,-4,30,427,869,0.2
Object377_4,Instance1,207,-22,130,308,946,0.54,Instance2,207,-9,130,118,273,0.37,Instance3,207,-48,130,607,439,0.09
Object378_4,Instance1,365,-15,170,248,307,0.1,Instance2,365,-31,170,268,5,0.63,Instance3,365,-48,170,210,654,0.27
Object379_4,Instance1,15,-50,130,903,37,0.32,Instance2,15,-46,130,943,287,0.24,Instance3,15,-18,130,17,211,0.45
Object380_4,Instance1,691,-45,180,893,586,0.57,Instance2,691,-44,180,409,353,0.35,Instance3,691,-6,180,515,961,0.08
Object381_4,Instance1,533,-42,70,134,779,0.65,Instance2,533,-45,70,669,749,0.1,Instance3,533,-20,70,855,242,0.25
Object382_4,Instance1,908,-1,170,367,227,0.56,Instance2,908,-43,170,717,82,0.35,Instance3,908,-39,170,409,266,0.08
Object383_4,Instance1,481,-35,160,406,319,0.24,Instance2,481,-4,160,932,172,0.28,Instance3,481,-1,160,363,828,0.49
Object384_4,Instance1,628,-43,130,552,644,0.86,Instance2,628,-2,130,629,583,0.13,Instance3,628,-48,130,619,542,0.02
Object385_4,Instance1,244,-37,150,68,729,0.39,Instance2,244,-25,150,909,17,0.46,Instance3,244,-21,150,882,540,0.15
Object386_4,Instance1,226,-17,130,756,299,0.78,Instance2,226,-36,130,897,73,0.06,Instance3,226,-13,130,278,415,0.15
Object387_4,Instance1,979,-36,80,541,65,0.05,Instance2,979,-6,80,225,366,0.61,Instance3,979,-50,80,735,25,0.34
Object388_4,Instance1,759,-27,70,748,194,0.77,Instance2,759,-42,70,748,721,0.0,Instance3,759,-24,70,907,637,0.22
Object389_4,Instance1,312,-6,130,937,233,0.72,Instance2,312,-40,130,364,892,0.05,Instance3,312,-14,130,184,111,0.23
Object390_4,Instance1,341,-29,190,653,186,0.89,Instance2,341,-18,190,259,28,0.11,Instance3,341,-18,190,952,223,0.0
Object391_4,Instance1,724,-28,90,296,871,0.23,Instance2,724,-46,90,447,94,0.16,Instance3,724,-37,90,949,714,0.61
Object392_4,Instance1,354,-33,20,652,371,0.32,Instance2,354,-6,20,348,862,0.02,Instance3,354,-21,20,732,121,0.66
Object393_4,Instance1,934,-32,90,175,24,0.19,Instance2,934,-15,90,146,430,0.76,Instance3,934,-50,90,549,994,0.05
Object394_4,Instance1,899,-8,160,524,81,0.85,Instance2,899,-33,160,782,866,0.03,Instance3,899,-35,160,474,638,0.11
Object395_4,Instance1,366,-50,140,601,252,0.65,Instance2,366,-27,140,629,666,0.09,Instance3,366,-48,140,569,369,0.26
Object396_4,Instance1,530,-15,20,838,246,0.13,Instance2,530,-11,20,6,142,0.38,Instance3,530,-17,20,472,3,0.49
Object397_4,Instance1,196,-45,110,874,431,0.35,Instance2,196,-9,110,125,834,0.09,Instance3,196,-39,110,863,112,0.56
Object398_4,Instance1,342,-26,170,11,863,0.3,Instance2,342,-40,170,951,405,0.49,Instance3,342,-36,170,592,889,0.21
Object399_4,Instance1,880,-10,60,256,432,0.52,Instance2,880,-21,60,658,953,0.33,Instance3,880,-27,60,1,247,0.14
Object400_4,Instance1,659,-30,150,143,507,0.78,Instance2,659,-9,150,796,0,0.0,Instance3,659,-49,150,717,243,0.21
Object401_4,Instance1,629,-16,140,318,712,0.09,Instance2,629,-6,140,17,690,0.33,Instance3,629,-15,140,243,968,0.58
Object402_4,Instance1,775,-12,70,107,127,0.63,Instance2,775,-12,70,248,427,0.19,Instance3,775,-18,70,847,410,0.17
Object403_4,Instance1,861,-42,160,612,451,0.09,Instance2,861,-9,160,535,782,0.41,Instance3,861,-36,160,347,673,0.49
Object404_4,Instance1,988,-10,140,105,22,0.83,Instance2,988,-13,140,764,411,0.14,Instance3,988,-44,140,332,278,0.03
Object405_4,Instance1,199,-10,130,779,526,0.36,Instance2,199,-5,130,460,883,0.16,Instance3,199,-16,130,170,970,0.48
Object406_4,Instance1,652,-8,60,843,711,0.37,Instance2,652,-28,60,877,904,0.53,Instance3,652,-13,60,176,500,0.1
Object407_4,Instance1,855,-28,60,237,217,0.41,Instance2,855,-18,60,349,697,0.15,Instance3,855,-17,60,184,208,0.44
Object408_4,Instance1,314,-32,140,321,757,0.8,Instance2,314,-7,140,216,418,0.12,Instance3,314,-15,140,487,748,0.08
Object409_4,Instance1,114,-49,100,718,967,0.18,Instance2,114,-25,100,813,447,0.65,Instance3,114,-43,100,926,534,0.17
Object410_4,Instance1,202,-1,120,962,379,0.33,Instance2,202,-36,120,878,221,0.36,Instance3,202,-43,120,821,618,0.31
Object411_4,Instance1,233,-24,20,964,345,0.13,Instance2,233,-16,20,330,87,0.44,Instance3,233,-9,20,912,61,0.42
Object412_4,Instance1,588,-31,170,817,655,0.85,Instance2,588,-44,170,618,808,0.12,Instance3,588,-30,170,711,37,0.03
Object413_4,Instance1,630,-18,140,945,668,0.51,Instance2,630,-44,140,772,600,0.39,Instance3,630,-25,140,29,401,0.09
Object414_4,Instance1,410,-35,40,221,597,0.6,Instance2,410,-46,40,452,190,0.01,Instance3,410,-48,40,607,807,0.39
Object415_4,Instance1,957,-12,60,720,193,0.55,Instance2,957,-7,60,40,908,0.01,Instance3,957,-26,60,391,565,0.45
Object416_4,Instance1,177,-48,120,392,227,0.12,Instance2,177,-41,120,665,828,0.45,Instance3,177,-48,120,95,300,0.42
